CUSTOMER_ID,ORDER_DATE,PRODUCT_ID,ITEM_NAME,ITEM_DESC_LONG,DOG_NAME,DOG_BIRTHDAY,DOG_SIZE,DOG_GENDER,DOG_BREED
229099,2020-01-23,132383,Nature Zone HerpPro Calcium & Probiotic Bearded Dragon Supplement,"Keep your bearded dragon healthy and peppy with the Nature Zone HerpPro Calcium & Probiotics for Bearded Dragons. This ready-to-use formula provides your herp pal with calcium that’s essential for his health, especially to support strong bones and prevent fractures and metabolic bone disease. It’s specially formulated to have the ideal calcium to phosphorus ratio for beardies, and has vitamin D3 that’s needed to maximize calcium absorption. Plus, it also has probiotics to maintain a healthy immune system and gut flora.",Buddy,2011-01-01,SM,MALE,Shih Tzu
229099,2020-02-11,182377,Blue Buffalo True Chews Natural Chewy Chicken Cat Treats,"Give your furbaby a meaty reward worth remembering with Blue Buffalo True Chews Natural Chewy Cat Treats. Made with real chicken first, these delectable, bite-sized morsels feature high-quality, healthy ingredients you can feel great about feeding your cat. They are a natural cat treat sure to get purrs of approval from the pickiest kitty companions.",Buddy,2011-01-01,SM,MALE,Shih Tzu
229099,2020-03-11,182377,Blue Buffalo True Chews Natural Chewy Chicken Cat Treats,"Give your furbaby a meaty reward worth remembering with Blue Buffalo True Chews Natural Chewy Cat Treats. Made with real chicken first, these delectable, bite-sized morsels feature high-quality, healthy ingredients you can feel great about feeding your cat. They are a natural cat treat sure to get purrs of approval from the pickiest kitty companions.",Buddy,2011-01-01,SM,MALE,Shih Tzu
229099,2020-03-31,132383,Nature Zone HerpPro Calcium & Probiotic Bearded Dragon Supplement,"Keep your bearded dragon healthy and peppy with the Nature Zone HerpPro Calcium & Probiotics for Bearded Dragons. This ready-to-use formula provides your herp pal with calcium that’s essential for his health, especially to support strong bones and prevent fractures and metabolic bone disease. It’s specially formulated to have the ideal calcium to phosphorus ratio for beardies, and has vitamin D3 that’s needed to maximize calcium absorption. Plus, it also has probiotics to maintain a healthy immune system and gut flora.",Buddy,2011-01-01,SM,MALE,Shih Tzu
229099,2020-05-20,132383,Nature Zone HerpPro Calcium & Probiotic Bearded Dragon Supplement,"Keep your bearded dragon healthy and peppy with the Nature Zone HerpPro Calcium & Probiotics for Bearded Dragons. This ready-to-use formula provides your herp pal with calcium that’s essential for his health, especially to support strong bones and prevent fractures and metabolic bone disease. It’s specially formulated to have the ideal calcium to phosphorus ratio for beardies, and has vitamin D3 that’s needed to maximize calcium absorption. Plus, it also has probiotics to maintain a healthy immune system and gut flora.",Buddy,2011-01-01,SM,MALE,Shih Tzu
229099,2020-06-12,182377,Blue Buffalo True Chews Natural Chewy Chicken Cat Treats,"Give your furbaby a meaty reward worth remembering with Blue Buffalo True Chews Natural Chewy Cat Treats. Made with real chicken first, these delectable, bite-sized morsels feature high-quality, healthy ingredients you can feel great about feeding your cat. They are a natural cat treat sure to get purrs of approval from the pickiest kitty companions.",Buddy,2011-01-01,SM,MALE,Shih Tzu
229099,2020-06-12,132383,Nature Zone HerpPro Calcium & Probiotic Bearded Dragon Supplement,"Keep your bearded dragon healthy and peppy with the Nature Zone HerpPro Calcium & Probiotics for Bearded Dragons. This ready-to-use formula provides your herp pal with calcium that’s essential for his health, especially to support strong bones and prevent fractures and metabolic bone disease. It’s specially formulated to have the ideal calcium to phosphorus ratio for beardies, and has vitamin D3 that’s needed to maximize calcium absorption. Plus, it also has probiotics to maintain a healthy immune system and gut flora.",Buddy,2011-01-01,SM,MALE,Shih Tzu
229099,2020-07-12,182377,Blue Buffalo True Chews Natural Chewy Chicken Cat Treats,"Give your furbaby a meaty reward worth remembering with Blue Buffalo True Chews Natural Chewy Cat Treats. Made with real chicken first, these delectable, bite-sized morsels feature high-quality, healthy ingredients you can feel great about feeding your cat. They are a natural cat treat sure to get purrs of approval from the pickiest kitty companions.",Buddy,2011-01-01,SM,MALE,Shih Tzu
229099,2020-07-12,132383,Nature Zone HerpPro Calcium & Probiotic Bearded Dragon Supplement,"Keep your bearded dragon healthy and peppy with the Nature Zone HerpPro Calcium & Probiotics for Bearded Dragons. This ready-to-use formula provides your herp pal with calcium that’s essential for his health, especially to support strong bones and prevent fractures and metabolic bone disease. It’s specially formulated to have the ideal calcium to phosphorus ratio for beardies, and has vitamin D3 that’s needed to maximize calcium absorption. Plus, it also has probiotics to maintain a healthy immune system and gut flora.",Buddy,2011-01-01,SM,MALE,Shih Tzu
229099,2020-09-07,132383,Nature Zone HerpPro Calcium & Probiotic Bearded Dragon Supplement,"Keep your bearded dragon healthy and peppy with the Nature Zone HerpPro Calcium & Probiotics for Bearded Dragons. This ready-to-use formula provides your herp pal with calcium that’s essential for his health, especially to support strong bones and prevent fractures and metabolic bone disease. It’s specially formulated to have the ideal calcium to phosphorus ratio for beardies, and has vitamin D3 that’s needed to maximize calcium absorption. Plus, it also has probiotics to maintain a healthy immune system and gut flora.",Buddy,2011-01-01,SM,MALE,Shih Tzu
